"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Apartment","861","80",3000000,"Cash","Alexandria","Hay Awal El Montazah","Sidi Beshr","","1","1","2025-09-02","9","2"
"Chalet","1991","185",24000000,"Cash","North Coast","Al Alamein","La Vista Cascada",7400000,"2","2","2025-07-18","7","18"
"Apartment","2530","235",7000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-08-08","8","8"
"Chalet","1292","120",3800000,"Cash","North Coast","Al Alamein","Golf Porto Marina","","2","2","2025-08-25","8","25"
"Apartment","1249","116",6500000,"Cash","Cairo","Madinaty","","","2","2","2025-09-02","9","2"
"Chalet","2594","241",7800000,"Cash","North Coast","Ras Al Hekma","Direction White","","4","4","2025-07-29","7","29"
"Apartment","2368","220",6000000,"Cash","Cairo","New Cairo City","El Lotus","","3","3","2025-06-26","6","26"
"Chalet","2357","219",23200000,"Cash","North Coast","Qesm Marsa Matrouh","Silver Sands","","4","4","2025-08-12","8","12"
"Villa","8611","800",80000000,"Cash","Cairo","New Cairo City","North Investors Area","","6","6","2025-09-02","9","2"
"Villa","4607","428",55000000,"Cash","Cairo","Mokattam","Uptown Cairo","","4","4","2025-05-20","5","20"
"Townhouse","1830","170",11859000,"Cash","North Coast","Ras Al Hekma","Mountain View","","3","3","2025-08-31","8","31"
"Apartment","1884","175",12500000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-07-24","7","24"
"Penthouse","2110","196",10400000,"Installments","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",1040000,"2","2","2025-08-24","8","24"
"Apartment","1184","110",10000000,"Installments","North Coast","Al Alamein","New Alamein City",500000,"2","2","2025-08-31","8","31"
"Chalet","1292","120",14000000,"Cash","North Coast","Ras Al Hekma","Direction White","","2","2","2025-06-28","6","28"
"Twin House","1938","180",6850000,"Installments","North Coast","Ras Al Hekma","Gaia","","4","4","2025-09-01","9","1"
