"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Chalet","1238","115","","","North Coast","Ras Al Hekma","Ogami","","2","2","2025-07-30","7","30"
"Townhouse","2508","233",23900000,"Installments","Giza","6 October City","6th District",2390000,"3","3","2025-09-02","9","2"
"Apartment","1313","122",5200000,"Cash","Cairo","New Cairo City","","","2","2","2025-05-04","5","4"
"Apartment","861","80",1450000,"Cash","Giza","6 October City","Al Wahat Road","","1","1","2025-08-01","8","1"
"Townhouse","2863","266",20000000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Apartment","2207","205",9000000,"Cash","Giza","6 October City","6 October Compounds","","5","5","2025-09-02","9","2"
"Duplex","2325","216",32294000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Chalet","700","65",3800000,"Installments","North Coast","Ras Al Hekma","Hacienda West","","2","2","2025-07-06","7","6"
"Penthouse","1561","145",8000000,"Cash","North Coast","Ras Al Hekma","Gaia","","2","2","2025-08-26","8","26"
"Chalet","689","64",6500000,"Installments","North Coast","Sidi Abdel Rahman","Plage","","1","1","2025-09-01","9","1"
"Cabin","538","50",13000000,"Cash","North Coast","Ras Al Hekma","Solare",4000000,"1","1","2025-09-02","9","2"
"Villa","1938","180",15000000,"Installments","North Coast","Ras Al Hekma","Naia bay","","3","3","2025-09-01","9","1"
"Chalet","1119","104",4950000,"Installments","North Coast","Sidi Abdel Rahman","Amwaj","","2","2","2025-08-19","8","19"
"iVilla","2476","230",7650000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Apartment","1087","101","","","North Coast","Sidi Abdel Rahman","Bianchi","","2","2","2025-08-13","8","13"
"Apartment","2045","190",3000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-01","9","1"
"Apartment","2002","186",19617000,"Cash","Cairo","New Cairo City","","","3","3","","",""
"Chalet","1604","149",12700000,"Cash","North Coast","Sidi Abdel Rahman","Playa Resort","","2","2","2025-08-07","8","7"
"Apartment","1722","160",10700000,"Installments","Cairo","Madinaty","",5250000,"2","2","2025-08-16","8","16"
"Twin House","4650","432",61000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","4","4","2025-08-26","8","26"
"Townhouse","2530","235",32250000,"Installments","Cairo","New Cairo City","",1750000,"4","4","2025-08-31","8","31"
"Twin House","4306","400",21000000,"Cash","Giza","6 October City","26th of July Corridor","","5","5","2025-08-20","8","20"
"Apartment","1507","140",4900000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-21","8","21"
"Apartment","861","80",4800000,"Cash","Red Sea","Hurghada","Hurghada Resorts",720000,"1","1","2025-08-25","8","25"
"Villa","8073","750",40000000,"Cash","Giza","Sheikh Zayed City","4th District","","7","7","2025-08-30","8","30"
"Townhouse","2530","235",7770000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-21","8","21"
"Apartment","2336","217",19000000,"Cash","Cairo","Mokattam","Uptown Cairo","","3","3","2025-08-10","8","10"
"Villa","4392","408","","","Cairo","New Heliopolis","6th District","","5","5","2025-08-03","8","3"
"Land","102257","9500","","","Giza","6 October City","Green Belt","","","","2025-08-24","8","24"
"Apartment","2056","191",13500000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Villa","5081","472",53500000,"Cash","Cairo","Mokattam","Uptown Cairo","","5","5","2025-09-01","9","1"
"Apartment","2099","195",18560000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-26","8","26"
"Cabin","710","66",22030000,"Installments","North Coast","Sidi Abdel Rahman","Zoya",4000000,"1","1","2025-08-31","8","31"
"Apartment","1668","155",5150000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-07-27","7","27"
"Villa","4489","417",14500000,"Cash","Cairo","Shorouk City","5th District","","5","5","2025-08-28","8","28"
"Duplex","2799","260",12480000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Townhouse","2422","225",14825000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-01","8","1"
"Villa","4306","400",24000000,"Installments","Red Sea","Hurghada","",800000,"4","4","2025-09-01","9","1"
"Villa","3724","346",124900000,"Installments","North Coast","Qesm Marsa Matrouh","Silver Sands",6248400,"5","5","2025-09-02","9","2"
"Chalet","721","67",6560000,"Cash","North Coast","Ras Al Hekma","Seashore","","1","1","2025-09-02","9","2"
"Apartment","1076","100",4000000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-08-11","8","11"
"Apartment","1249","116",20000000,"Cash","North Coast","Ras Al Hekma","June","","2","2","2025-09-01","9","1"
"Chalet","710","66",11500000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","1","1","2025-08-19","8","19"
"Villa","5081","472",72000000,"Cash","Cairo","Mokattam","Uptown Cairo","","5","5","2025-09-01","9","1"
"Apartment","2669","248",14250000,"Cash","Cairo","New Cairo City","","","5","5","2025-09-02","9","2"
"Apartment","2002","186",18500000,"Cash","Cairo","Mokattam","Uptown Cairo","","3","3","2025-08-31","8","31"
"Chalet","1507","140",13500000,"Cash","North Coast","Ras Al Hekma","Youd",1350000,"3.0","3.0","2025-08-08","8","8"
"Villa","3283","305",23500000,"Cash","Cairo","New Capital City","New Capital Compounds","","5","5","2025-08-25","8","25"
"Villa","32830","3050","","","Cairo","New Cairo City","","","8","7","2025-05-30","5","30"
"Twin House","1507","140",22000000,"Installments","Red Sea","Hurghada","Makadi","","4","4","2025-09-02","9","2"
"Chalet","1098","102",1850000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-08-06","8","6"
"Apartment","1938","180",4000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-01","9","1"
"Chalet","2476","230",18000000,"Cash","North Coast","Qesm Marsa Matrouh","Hacienda Heneish","","3","3","2025-08-14","8","14"
"Apartment","2260","210",9300000,"Cash","Cairo","New Cairo City","The 1st Settlement","","2","2","2025-09-01","9","1"
"Chalet","1055","98",18000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","2","2","","",""
"Villa","2960","275",55000000,"Installments","North Coast","Qesm Marsa Matrouh","Marsa Baghush",2750000,"4","4","2025-09-02","9","2"
"Villa","2745","255",6400000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","4","4","2025-08-31","8","31"
"Chalet","1615","150",15177000,"Installments","North Coast","Ras Al Hekma","Cali Coast",1517000,"2","2","2025-08-27","8","27"
"Chalet","969","90",4250000,"Cash","Suez","Al Ain Al Sokhna","Blumar","","1","1","2025-09-01","9","1"
"Villa","3767","350",20000000,"Installments","Red Sea","Hurghada","",700000,"4","4","2025-09-01","9","1"
"Apartment","1776","165",5400000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-11","8","11"
"Chalet","1023","95",4000000,"Cash","North Coast","Al Alamein","Golf Porto Marina",400000,"1","1","2025-08-04","8","4"
"Apartment","1464","136",4780000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-08-31","8","31"
"Apartment","883","82",2400000,"Installments","Cairo","Noor City","",720000,"1","1","2025-08-21","8","21"
"Apartment","2551","237",21750000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","4","4","2025-08-19","8","19"
"iVilla","1884","175",5870000,"Installments","Giza","6 October City","6 October Compounds","","3.0","3.0","2025-08-21","8","21"
"Chalet","2842","264",19000000,"Cash","North Coast","Sidi Abdel Rahman","Seashell","","3","3","2025-09-01","9","1"
"Chalet","969","90",2167000,"Cash","North Coast","Qesm Borg El Arab","Siela",541750,"1","1","2025-09-01","9","1"
"Chalet","1076","100",9000000,"Cash","North Coast","Ras Al Hekma","Mountain View",400000,"3","3","2025-09-02","9","2"
"Apartment","1216","113",5604930,"Cash","Red Sea","Hurghada","Al Ahyaa District",1404200,"1","1","2026-08-28","8","28"
"Townhouse","2530","235",33250000,"Installments","Cairo","New Cairo City","",1750000,"4","4","2025-09-01","9","1"
"Apartment","1485","138",5750000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","2","2","","",""
"Villa","2637","245",18000000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",900000,"6","6","2025-08-31","8","31"
"Villa","6566","610",453000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","5","5","","",""
"Apartment","1755","163",5855000,"Cash","Cairo","Heliopolis - Masr El Gedida","Almazah","","2","2","2025-08-09","8","9"
"Villa","12917","1200",250000000,"Cash","Cairo","New Cairo City","","","7","7","2025-09-02","9","2"
"Townhouse","2476","230",5422583,"Cash","Giza","6 October City","6th District","","4","4","2025-08-31","8","31"
"Villa","6566","610",29500000,"Cash","North Coast","Sidi Abdel Rahman","Hacienda Bay","","5","5","2025-08-26","8","26"
"Apartment","1507","140",2310000,"Installments","Cairo","Shorouk City","2nd District West",1150000,"1","1","2025-06-25","6","25"
"Chalet","1399","130",15375000,"Cash","North Coast","Ras Al Hekma","La vista Ras El Hikma","","3","3","2025-08-31","8","31"
"Duplex","2874","267",7700000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","3","3","2025-07-15","7","15"
"Apartment","1507","140",6220250,"Installments","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",1755000,"3","3","2025-08-18","8","18"
"Apartment","1991","185",8300000,"Cash","Cairo","New Cairo City","","","3","3","2025-07-28","7","28"
"Apartment","1389","129",5000000,"Cash","Alexandria","Hay Sharq","Sidi Gaber","","1","1","2025-06-30","6","30"
"Apartment","3014","280",10700000,"Cash","Cairo","New Capital City","New Capital Compounds","","4","4","2025-08-31","8","31"
"Villa","2583","240",12900000,"Cash","North Coast","Ras Al Hekma","Mountain View","","3","3","2025-09-01","9","1"
"Apartment","2153","200",5500000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","3","3","2025-08-12","8","12"
"Apartment","1615","150",2250000,"Installments","Cairo","Shorouk City","1st Area",1125000,"2","2","2025-08-08","8","8"
"Apartment","1970","183",4800000,"Cash","Cairo","Madinaty","","","3","3","2025-08-31","8","31"
"Townhouse","3767","350",28000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","4","4","2025-08-29","8","29"
"Apartment","2153","200",12800000,"Cash","Cairo","Madinaty","","","3","3","2025-08-31","8","31"
"Villa","9688","900",90000000,"Cash","North Coast","Qesm Marsa Matrouh","Marsa Baghush","","6","6","2025-08-30","8","30"
"Chalet","1259","117",8500000,"Cash","North Coast","Sidi Abdel Rahman","Amwaj","","1","1","2025-07-22","7","22"
"Villa","7212","670",60000000,"Cash","North Coast","Qesm Ad Dabaah","Ramla Lakeside",3000000,"5","5","2025-08-31","8","31"
"Villa","5081","472",45000000,"Cash","Cairo","Mokattam","Uptown Cairo","","5","5","2025-05-08","5","8"
"Villa","2863","266",11200000,"Cash","Cairo","Madinaty","","","3","3","2025-08-14","8","14"
"Villa","4607","428",25500000,"Cash","Giza","6 October City","26th of July Corridor","","5","5","2025-09-02","9","2"
"Chalet","753","70",14000000,"Cash","Red Sea","Hurghada","Al Gouna","","1","1","2025-08-31","8","31"
"Villa","1938","180",35000000,"Cash","North Coast","Ras Al Hekma","Salt",3500000,"5","5","2025-08-10","8","10"
"Apartment","1938","180",5800000,"Cash","Cairo","El Nozha","El Hegaz Square","","2","2","2025-08-13","8","13"
"Chalet","3552","330",25000000,"Cash","North Coast","Sidi Abdel Rahman","Seashell","","5","5","2025-06-16","6","16"
"Villa","12917","1200",225000000,"Cash","Cairo","New Cairo City","","","6","6","2025-09-01","9","1"
"Apartment","2519","234",4750000,"Cash","Giza","6 October City","Al Wahat Road","","3","3","2025-08-31","8","31"
"Twin House","1991","185",10950000,"Cash","North Coast","Qesm Ad Dabaah","LVLS By Mountain View","","4","4","2025-08-06","8","6"
"Chalet","915","85",8900000,"Installments","Red Sea","Hurghada","Makadi","","2","2","2025-08-31","8","31"
"Villa","2691","250",4000000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","4","4","2025-07-25","7","25"
"Apartment","700","65",7060800,"Cash","North Coast","Ras Al Hekma","Hacienda West","","2","2","2025-09-01","9","1"
"iVilla","3014","280",15000000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-30","8","30"
"Chalet","1399","130",14000000,"Cash","North Coast","Ras Al Hekma","Direction White",1400000,"3","3","2025-08-27","8","27"
"Chalet","753","70",7700000,"Cash","Red Sea","Hurghada","","","1","1","2025-08-30","8","30"
"Apartment","2379","221",31500000,"Cash","Cairo","Mokattam","Uptown Cairo","","3","3","2025-09-01","9","1"
"Apartment","2024","188",5850000,"Installments","Giza","Sheikh Zayed City","4th District","","3","3","2025-08-31","8","31"
"Apartment","1884","175",9000000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-24","8","24"
"Apartment","1442","134",9000000,"Cash","Giza","Sheikh Zayed City","12th District","","2","2","2025-08-25","8","25"
"Apartment","1378","128",13800000,"Cash","Cairo","New Cairo City","",2600000,"2","2","2025-07-13","7","13"
"Villa","1292","120",3500000,"Cash","Suez","Al Ain Al Sokhna","New Venecia","","2","2","2025-05-08","5","8"
"iVilla","2260","210",5800000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-09-02","9","2"
"Twin House","3552","330",13999000,"Cash","Cairo","New Cairo City","The 1st Settlement","","5","5","2025-08-24","8","24"
"Villa","1873","174",5200000,"Cash","Giza","6 October City","26th of July Corridor","","3","3","2025-08-30","8","30"
"Apartment","2820","262",8500000,"Cash","Giza","6 October City","Northern Expansions","","3","3","2025-09-02","9","2"
"Apartment","764","71",4500000,"Cash","Cairo","New Cairo City","South Investors Area",225000,"1","1","2025-09-01","9","1"
"Chalet","1313","122",16000000,"Cash","North Coast","Ras Al Hekma","Azha North","","2","2","2025-08-20","8","20"
"Apartment","1507","140",7450000,"Cash","Cairo","Madinaty","","","2","2","2025-09-02","9","2"
"Apartment","1399","130",5000000,"Cash","Alexandria","Hay Awal El Montazah","Miami","","2","2","2025-07-22","7","22"
"Villa","5167","480",100000000,"Cash","North Coast","Qesm Marsa Matrouh","Almaza Bay","","6","6","2025-08-21","8","21"
"Villa","4306","400",34962010,"Cash","Giza","Sheikh Zayed City","New Zayed City","","2","2","2025-09-01","9","1"
"Chalet","1163","108",2200000,"Cash","Suez","Al Ain Al Sokhna","Telal Al Sokhna","","2","2","2025-08-28","8","28"
"Chalet","1518","141",17921000,"Cash","North Coast","Qesm Ad Dabaah","Hacienda Waters",896050,"3","3","","",""
"Chalet","1367","127",16664400,"Installments","North Coast","Ras Al Hekma","Seashore",1400000,"2","2","2025-08-12","8","12"
"Chalet","2422","225",8000000,"Cash","North Coast","Ras Al Hekma","Direction White","","2","2","2025-09-02","9","2"
"Apartment","1507","140",6299000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-31","8","31"
"Villa","3552","330",7000000,"Cash","Cairo","Cairo - Ismailia Desert Road","Stella Heliopolis","","4","4","2025-08-16","8","16"
"Apartment","2260","210",6250000,"Cash","Giza","Mohandessin","Al Esraa St.","","3","3","2025-08-08","8","8"
"Apartment","1776","165",11000000,"Cash","Giza","6 October City","South Dahshur Link","","3","3","2025-08-31","8","31"
"Twin House","3552","330",23000000,"Cash","Cairo","New Cairo City","","","5","5","2025-09-02","9","2"
"Chalet","1389","129",8300000,"Installments","North Coast","Ras Al Hekma","Naia bay","","3","3","2025-09-01","9","1"
"Apartment","2443","227",9000000,"Cash","Alexandria","Hay Sharq","Janaklees","","3","3","2025-08-31","8","31"
"Twin House","4790","445",27500000,"Cash","Cairo","New Cairo City","","","5","5","2025-09-02","9","2"
"Chalet","1109","103",6400000,"Installments","North Coast","Ras Al Hekma","Jefaira","","3","3","2025-08-31","8","31"
"Chalet","1259","117",27000000,"Cash","North Coast","Qesm Ad Dabaah","La Vista",5400000,"2","2","2025-08-23","8","23"
"Apartment","1356","126",4100000,"Installments","Giza","6 October City","Hadayek October","","2","2","2025-08-31","8","31"
"Apartment","1238","115",6500000,"Cash","Cairo","Madinaty","","","2","2","2025-09-02","9","2"
"Villa","3078","286",16559075,"Cash","Giza","Sheikh Zayed City","New Zayed City","","2","2","2025-07-22","7","22"
"Apartment","667","62",3038000,"Cash","Red Sea","Hurghada","Al Ahyaa District",303800,"1","1","2025-08-09","8","9"
"Apartment","1582","147",5000000,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","2","2","2025-08-19","8","19"
"Villa","6458","600",14000000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","5","5","2025-08-16","8","16"
"Chalet","1991","185",8652000,"Cash","North Coast","Markaz Al Hamam","Marseilia","","3","3","2025-09-01","9","1"
"Chalet","1055","98",5000000,"Cash","North Coast","Coronado","","","2","2","2025-09-01","9","1"
"Chalet","1345","125",13554000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay","","1","1","2025-07-28","7","28"
"Twin House","2153","200",17000000,"Cash","Red Sea","Hurghada","",860000,"3","3","2025-09-01","9","1"
"Apartment","1615","150",5985000,"Installments","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-02","9","2"
"Chalet","2153","200",18000000,"Cash","North Coast","Sidi Abdel Rahman","Seashell","","3","3","2025-08-07","8","7"
"Villa","3875","360",4600000,"Cash","Giza","Sheikh Zayed City","","","5","5","2025-08-31","8","31"
"Apartment","1776","165",7411740,"Cash","Cairo","Shorouk City","El Shorouk Compounds",3200000,"2","2","2025-08-31","8","31"
"Cabin","484","45",10920000,"Cash","North Coast","Sidi Abdel Rahman","Hacienda Bay","","1","1","2025-08-03","8","3"
"Apartment","2422","225",8000000,"Installments","Giza","Mohandessin","Mohi Al Din Abou El Ezz St.",4000000,"3","3","2025-08-21","8","21"
"Apartment","1679","156",8600000,"Cash","Giza","6 October City","6 October Compounds",4000000,"3","3","2025-09-02","9","2"
"Chalet","1421","132",64156000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","2","2","2025-08-31","8","31"
"Villa","2045","190",5620000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-08-27","8","27"
"Apartment","1916","178",6100000,"Cash","Alexandria","Hay Sharq","Laurent","","2","2","2025-09-01","9","1"
"Villa","6458","600",95000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","5","5","2025-09-02","9","2"
"Penthouse","2745","255",10500000,"Cash","Giza","6 October City","Hadayek October","","4","4","2025-08-17","8","17"
"Twin House","3767","350",100000000,"Cash","Red Sea","Hurghada","Al Gouna","","7","7","2025-08-31","8","31"
"Apartment","1776","165",4600000,"Cash","Alexandria","Hay Sharq","Laurent","","1","1","2025-05-25","5","25"
"Apartment","1744","162",9900000,"Cash","Cairo","New Cairo City","South Investors Area","","3","3","2025-08-28","8","28"
"Apartment","1076","100",1600000,"Cash","Giza","Hadayek El Ahram","Gate 4 - Mena","","2","2","2025-08-23","8","23"
"Townhouse","2422","225",48000000,"Installments","North Coast","Qesm Marsa Matrouh","Caesar",2400000,"2","2","2025-09-01","9","1"
"Hotel Apartment","506","47",2321800,"Cash","Red Sea","Hurghada","Hurghada Resorts",348270,"1.0","1.0","2025-09-02","9","2"
"Apartment","1001","93",6497700,"Installments","Red Sea","Hurghada","Hurghada Resorts",1949310,"1","1","2025-08-23","8","23"
"Villa","1776","165",13000000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","3","3","2025-08-26","8","26"
"Hotel Apartment","2045","190","","","North Coast","Qesm Marsa Matrouh","Almaza Bay","","4","4","2025-08-27","8","27"
"Chalet","1399","130",16000000,"Cash","North Coast","Qesm Marsa Matrouh","Marsa Baghush",5,"2","2","2025-09-02","9","2"
"Apartment","1507","140",5500000,"Cash","Giza","Sheikh Zayed City","","","3","3","2025-08-25","8","25"
"iVilla","2260","210",10338375,"Installments","Cairo","Mostakbal City - Future City","Mostakbal City Compounds",3100000,"5","5","2025-09-01","9","1"
"Chalet","2153","200",13500000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay","","3","3","2025-08-28","8","28"
"Apartment","1776","165",6200000,"Cash","Giza","6 October City","Northern Expansions","","2","2","2025-09-02","9","2"
"iVilla","2519","234",13900000,"Cash","Cairo","New Cairo City","","","3","3","2025-07-31","7","31"
"Villa","2831","263",32000000,"Cash","Giza","6 October City","Northern Expansions","","6","6","2025-09-01","9","1"
"Apartment","3918","364",8500000,"Cash","Giza","Sheikh Zayed City","10th District","","4","4","2025-08-17","8","17"
"Chalet","1119","104",1750000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-08-09","8","9"
"Apartment","1615","150",11000000,"Cash","Giza","6 October City","6 October Compounds",1100000,"3","3","2025-08-26","8","26"
"Duplex","3380","314",20500000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-28","8","28"
"Cabin","484","45",8250000,"Cash","North Coast","Sidi Abdel Rahman","Hacienda Bay","","1","1","2025-08-06","8","6"
"Twin House","4898","455",55000000,"Cash","Giza","6 October City","Cairo Alexandria Desert Road","","6","6","2025-09-02","9","2"
"Apartment","1776","165",6750000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-31","8","31"
"iVilla","3078","286","","","Alexandria","Hay Sharq","Smouha","","3","3","2025-09-02","9","2"
"Apartment","1776","165",5500000,"Cash","Cairo","New Cairo City","El Lotus","","2","2","2025-08-18","8","18"
"Chalet","1668","155",20000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","3","3","2025-08-25","8","25"
"Chalet","1206","112",17500000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay","","2","2","2025-08-19","8","19"
"Chalet","1152","107",5000000,"Cash","North Coast","Sidi Abdel Rahman","Plage","","2","2","2025-06-04","6","4"
"Twin House","1507","140",17500000,"Cash","North Coast","Ras Al Hekma","La vista Ras El Hikma","","4","4","","",""
"Villa","2368","220",6500000,"Cash","Cairo","Cairo - Ismailia Desert Road","Stella Heliopolis","","3","3","2025-07-31","7","31"
"Chalet","1292","120",12500000,"Cash","North Coast","Ras Al Hekma","The Med",625000,"3","3","2025-09-01","9","1"
"Chalet","990","92",5400000,"Cash","North Coast","Ras Al Hekma","Mountain View","","2","2","2025-08-24","8","24"
"Villa","3305","307",15400000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","4","4","2025-08-17","8","17"
"Chalet","1292","120",7250000,"Cash","Suez","Al Ain Al Sokhna","La Vista","","2","2","","",""
"Townhouse","2207","205",13500000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-01","9","1"
"Chalet","1023","95",15000000,"Installments","North Coast","Ras Al Hekma","Salt","","2","2","2025-09-02","9","2"
"Townhouse","2799","260",8600000,"Cash","Cairo","Madinaty","","","4","4","2025-08-31","8","31"
"Apartment","1668","155",10200000,"Installments","Cairo","New Cairo City","The 6th Settlement",5,"3","3","2025-09-01","9","1"
"Apartment","1690","157",7500000,"Cash","Giza","Sheikh Zayed City","6th District","","2","2","2025-08-27","8","27"
"Apartment","1776","165",8800000,"Installments","Giza","Sheikh Zayed City","Sheikh Zayed Compounds",3000000,"3","3","2025-08-15","8","15"
"Villa","2906","270",19000000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-21","8","21"
"Penthouse","915","85",7350000,"Cash","North Coast","Sidi Abdel Rahman","Amwaj","","1","1","2025-08-18","8","18"
"Duplex","1507","140",28800000,"Cash","North Coast","Qesm Marsa Matrouh","Silver Sands",6000000,"2","2","2025-09-02","9","2"
"Apartment","1410","131",9600000,"Cash","Cairo","New Cairo City","Al Rehab","","2","2","2025-09-02","9","2"
"Apartment","969","90",4509000,"Cash","Red Sea","Hurghada","El Kawther District",676350,"1","1","2025-05-04","5","4"
"Apartment","1561","145",3941224,"Cash","Cairo","Mostakbal City - Future City","Mostakbal City Compounds","","2","2","2025-04-10","4","10"
"Villa","10764","1000",55000000,"Cash","Giza","Sheikh Zayed City","13th District","","6","6","2025-08-31","8","31"
"Duplex","3660","340",10000000,"Cash","Cairo","New Cairo City","","","2","2","2025-07-23","7","23"
"Chalet","1076","100",14253000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay",1425000,"2","2","2025-09-01","9","1"
"Villa","6943","645",110000000,"Cash","Cairo","New Cairo City","","","5","5","2025-09-01","9","1"
"Chalet","549","51",2250000,"Cash","Suez","Al Ain Al Sokhna","Porto South Beach","","1","1","2025-08-11","8","11"
"Apartment","2002","186",8000000,"Cash","Cairo","New Cairo City","South Investors Area","","3","3","2025-09-02","9","2"
"Villa","7750","720",239190000,"Cash","Cairo","Mokattam","Uptown Cairo","","7","7","2025-09-01","9","1"
"Chalet","1098","102",12000000,"Installments","Red Sea","Hurghada","",600000,"1","1","2025-09-01","9","1"
"Apartment","2906","270",14700000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-04","8","4"
"Apartment","1668","155",6700000,"Cash","Cairo","New Cairo City","","","2","2","2025-07-22","7","22"
"Apartment","1410","131",8187500,"Installments","Cairo","New Cairo City","South Investors Area",833000,"1","1","2025-08-11","8","11"
"Apartment","1023","95",2200000,"Cash","Alexandria","Hay Sharq","Bolkly","","1","1","2025-07-11","7","11"
"Palace","11840","1100",250000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","8","7","2025-06-22","6","22"
"Chalet","1130","105",8850000,"Cash","North Coast","Ras Al Hekma","LYV",1700000,"2","2","2025-07-31","7","31"
"Apartment","2885","268",14875000,"Cash","Giza","Sheikh Zayed City","New Zayed City",5321705,"4","4","2025-08-14","8","14"
"Villa","2476","230",5450000,"Cash","Giza","6 October City","6 October Compounds","","4","4","2025-08-31","8","31"
"Chalet","2045","190",20500000,"Cash","North Coast","Qesm Marsa Matrouh","Fouka Bay","","4","4","2025-08-28","8","28"
"Apartment","1238","115",7500000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-09-02","9","2"
"Villa","2583","240",12500000,"Cash","Giza","6 October City","6 October Compounds","","3","3","2025-08-28","8","28"
"Apartment","1399","130",6000000,"Cash","Cairo","New Cairo City","South Investors Area","","2","2","2025-08-31","8","31"
"Chalet","1098","102",7500000,"Cash","Suez","Al Ain Al Sokhna","Boho","","2","2","2025-07-08","7","8"
"Villa","2530","235",11002160,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Duplex","1238","115",1617328,"Cash","Cairo","New Cairo City","","","2","2","2025-09-02","9","2"
"Apartment","936","87",6087000,"Installments","Cairo","New Capital City","New Capital Compounds",1300000,"1","1","","",""
"Apartment","1442","134",7500000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-27","8","27"
"Apartment","1722","160",5000000,"Cash","Cairo","El Nozha","El Hegaz Square","","2","2","2025-08-31","8","31"
"Apartment","1733","161",8500000,"Cash","Cairo","New Cairo City","South Investors Area","","2","2","2025-09-01","9","1"
"Apartment","1453","135",10500000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds",2000000,"2","2","2025-08-31","8","31"
"Duplex","1776","165",19000000,"Installments","Red Sea","Hurghada","",850000,"2","2","2025-09-01","9","1"
"Chalet","1184","110",7400000,"Cash","North Coast","Ras Al Hekma","Youd",300000,"2","2","2025-09-02","9","2"
"Villa","4306","400",10000000,"Cash","Cairo","Shorouk City","El Shorouk Compounds","","4","4","2025-08-19","8","19"
"Apartment","2260","210",13000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-02","9","2"
"iVilla","2422","225",10800000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Chalet","1184","110",11270345,"Cash","North Coast","Ras Al Hekma","Salt",4744241,"2","2","2025-08-31","8","31"
"Apartment","2120","197",11000000,"Installments","Giza","Sheikh Zayed City","Sheikh Zayed Compounds",550000,"3","3","2025-09-01","9","1"
